ID,Region,Duration,Winner,Hero1,K1,D1,A1,XPM1,GPM1,DMG1,Hero2,K2,D2,A2,XPM2,GPM2,DMG2,Hero3,K3,D3,A3,XPM3,GPM3,DMG3,Hero4,K4,D4,A4,XPM4,GPM4,DMG4,Hero5,K5,D5,A5,XPM5,GPM5,DMG5,Hero6,K6,D6,A6,XPM6,GPM6,DMG6,Hero7,K7,D7,A7,XPM7,GPM7,DMG7,Hero8,K8,D8,A8,XPM8,GPM8,DMG8,Hero9,K9,D9,A9,XPM9,GPM9,DMG9,Hero10,K10,D10,A10,XPM10,GPM10,DMG10
2286336810,US East,25:47,Radiant,lina,10,1,21,431,512,15.1k,natures-prophet,5,1,24,499,554,8.8k,earth-spirit,4,4,24,309,407,5.6k,outworld-devourer,19,3,14,581,721,22.1k,slark,12,1,14,635,678,13.4k,magnus,2,11,4,185,224,4.9k,abaddon,3,7,2,300,296,7.8k,sniper,1,12,6,173,197,6.3k,medusa,2,11,7,303,282,6.7k,dragon-knight,1,9,6,374,347,5.3k
2286257308,China,45:48,Dire,weaver,11,12,10,519,407,13.9k,mirana,6,6,16,508,415,13.5k,vengeful-spirit,4,7,19,340,266,7.2k,enigma,8,9,11,366,333,8.1k,juggernaut,12,5,5,707,638,15.7k,windranger,15,8,8,720,562,17.4k,venomancer,10,7,8,533,473,22.4k,anti-mage,8,5,9,707,682,13k,tidehunter,3,8,16,536,417,5.6k,spirit-breaker,3,13,13,250,251,4k
2286285622,Europe West,32:22,Radiant,vengeful-spirit,4,2,5,253,288,4.2k,faceless-void,2,1,9,403,414,4.1k,ursa,14,1,7,596,585,17.6k,oracle,2,2,19,289,328,5.5k,mirana,12,1,11,515,581,14.5k,enchantress,3,11,1,203,203,6.9k,morphling,1,2,2,423,439,3.1k,tinker,2,5,3,277,357,13.5k,lion,0,9,1,123,134,1.6k,bane,0,7,2,170,143,2.2k
2286253886,Europe West,43:21,Dire,death-prophet,8,5,9,455,453,16.9k,kunkka,2,5,13,222,218,4.9k,faceless-void,3,6,10,307,282,3.6k,vengeful-spirit,3,8,8,187,182,2.7k,drow-ranger,3,5,7,467,499,5.7k,outworld-devourer,7,4,15,486,443,15.2k,lion,4,3,13,274,278,5k,undying,4,6,23,364,341,7k,ogre-magi,2,4,16,272,300,8.3k,lycan,11,2,9,561,638,11.9k
2286272986,US East,32:06,Radiant,mirana,4,1,16,282,294,5.6k,viper,7,0,17,425,393,11.4k,earthshaker,5,4,19,303,301,8.3k,chaos-knight,7,2,12,503,522,9.6k,windranger,12,1,15,532,517,15.9k,ember-spirit,3,7,3,350,284,7.7k,lion,1,7,2,220,185,5.2k,faceless-void,0,5,7,247,211,1.7k,medusa,2,8,4,380,375,10.4k,jakiro,0,9,5,125,141,4k
2286213565,Europe West,45:44,Radiant,faceless-void,3,8,19,472,401,5.2k,invoker,16,2,18,712,732,33.9k,enchantress,11,4,12,480,402,16.9k,oracle,2,4,16,278,271,2k,lone-druid,4,3,24,460,597,10.8k,enigma,1,7,13,275,306,5.2k,silencer,4,8,11,372,399,7.7k,beastmaster,5,7,8,427,414,9k,witch-doctor,1,9,11,247,257,4.2k,ursa,10,6,8,534,454,13.3k
2286256509,US East,26:44,Dire,earthshaker,7,3,4,298,288,10.1k,zeus,1,5,10,341,281,15.7k,shadow-shaman,1,11,3,106,167,4.7k,ogre-magi,0,9,7,145,159,3.4k,alchemist,2,6,2,465,629,6k,faceless-void,7,4,20,437,449,7.2k,doom,6,4,23,341,359,9.8k,weaver,6,0,9,612,545,5.8k,templar-assassin,10,2,11,526,509,14k,witch-doctor,4,3,20,296,275,7.7k
2286261143,US East,23:10,Radiant,lina,13,1,8,538,603,14.8k,witch-doctor,2,2,19,329,352,5.3k,phoenix,7,0,14,305,378,8.4k,gyrocopter,5,1,15,418,560,12.1k,omniknight,3,1,8,438,454,4.6k,bane,0,7,0,92,112,1.8k,dazzle,0,4,2,149,128,1.2k,clockwerk,1,9,2,190,190,4.1k,templar-assassin,2,6,2,342,291,5.4k,outworld-devourer,2,4,0,311,300,5.8k
2286218697,China,40:31,Radiant,witch-doctor,5,7,24,366,328,5.4k,doom,11,7,21,534,508,14.3k,zeus,10,5,27,580,483,21.9k,gyrocopter,12,4,24,702,703,18k,magnus,12,4,20,542,493,11.4k,lone-druid,1,6,8,372,394,6.6k,spirit-breaker,8,9,12,492,359,11.8k,shadow-shaman,6,13,11,315,359,11.3k,undying,1,8,19,348,262,4.8k,lina,10,15,5,457,418,14.5k
2286231862,US East,34:43,Dire,death-prophet,5,10,3,574,390,12.1k,legion-commander,1,8,1,306,267,2.8k,tidehunter,0,10,10,255,216,6.3k,weaver,6,8,6,407,350,14.7k,earthshaker,4,9,8,335,270,7.5k,queen-of-pain,6,3,8,493,485,10.2k,undying,6,4,14,438,374,5.8k,witch-doctor,8,4,13,346,360,10.7k,slardar,3,6,17,481,355,4.6k,alchemist,21,2,16,928,1.1k,30.3k
